Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Date,Day_Type,Educational_Time,Recreational_Time
17,Male,4.96,Smartphone,True,0.32,None,Urban,16-20,2025-10-29,Weekday,1.5872,3.3728
13,Female,1.85,Smartphone,False,0.49,None,Urban,11-15,2025-10-31,Weekday,0.9065,0.9435000000000001
16,Male,4.22,Smartphone,True,0.5,Poor Sleep,Urban,16-20,2025-10-11,Weekend,2.11,2.11
8,Male,0.31,Smartphone,False,0.51,None,Urban,6-10,2025-10-28,Weekday,0.1581,0.1519
18,Male,5.13,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,16-20,2025-10-03,Weekday,2.2058999999999997,2.9241
18,Male,4.45,Smartphone,True,0.48,Eye Strain,Urban,16-20,2025-10-13,Weekday,2.136,2.314
17,Female,3.02,Smartphone,True,0.39,None,Rural,16-20,2025-10-17,Weekday,1.1778,1.8422
10,Male,2.16,Tablet,True,0.41,None,Urban,6-10,2025-10-17,Weekday,0.8856,1.2744
14,Male,4.28,Smartphone,True,0.34,Eye Strain,Rural,11-15,2025-10-24,Weekday,1.4552000000000003,2.8247999999999998
11,Female,5.34,Smartphone,True,0.4,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-21,Weekday,2.136,3.2039999999999997
16,Female,3.5,Laptop,True,0.4,"Eye Strain, Obesity Risk",Rural,16-20,2025-10-09,Weekday,1.4000000000000001,2.0999999999999996
10,Male,11.68,TV,True,0.47,Poor Sleep,Urban,6-10,2025-10-09,Weekday,5.489599999999999,6.1904
12,Female,1.63,Smartphone,False,0.5,None,Urban,11-15,2025-10-18,Weekend,0.815,0.815
10,Male,4.63,Smartphone,True,0.47,Poor Sleep,Urban,6-10,2025-10-18,Weekend,2.1761,2.4539
14,Male,4.21,TV,True,0.38,Poor Sleep,Urban,11-15,2025-10-13,Weekday,1.5998,2.6102
12,Male,4.56,Smartphone,True,0.5,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-28,Weekday,2.28,2.28
16,Female,3.51,TV,True,0.44,"Poor Sleep, Anxiety",Urban,16-20,2025-10-03,Weekday,1.5444,1.9655999999999998
14,Female,4.69,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-05,Weekend,1.6415,3.0485000000000007
9,Male,7.61,TV,True,0.5,Poor Sleep,Urban,6-10,2025-10-21,Weekday,3.805,3.805
11,Male,2.75,Smartphone,False,0.35,None,Rural,11-15,2025-10-13,Weekday,0.9624999999999999,1.7875
16,Male,6.74,TV,True,0.42,"Eye Strain, Anxiety, Obesity Risk",Urban,16-20,2025-10-02,Weekday,2.8308,3.9092000000000002
9,Female,0.0,Smartphone,False,0.47,None,Urban,6-10,2025-10-19,Weekend,0.0,0.0
17,Male,2.34,Smartphone,False,0.48,None,Rural,16-20,2025-10-20,Weekday,1.1232,1.2167999999999999
16,Male,2.85,Smartphone,False,0.3,None,Rural,16-20,2025-10-28,Weekday,0.855,1.995
17,Male,4.29,Laptop,True,0.39,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-07,Weekday,1.6731,2.6169000000000002
12,Male,6.03,TV,True,0.39,"Poor Sleep, Anxiety",Urban,11-15,2025-10-26,Weekend,2.3517,3.6783
9,Female,1.06,Smartphone,False,0.42,None,Urban,6-10,2025-10-16,Weekday,0.4452,0.6148
11,Male,2.83,Smartphone,False,0.4,None,Urban,11-15,2025-10-04,Weekend,1.1320000000000001,1.698
14,Male,3.92,Smartphone,True,0.47,None,Urban,11-15,2025-10-28,Weekday,1.8423999999999998,2.0776000000000003
15,Male,4.55,Smartphone,True,0.39,"Poor Sleep, Anxiety",Urban,11-15,2025-10-12,Weekend,1.7745,2.7755
10,Female,6.86,Smartphone,True,0.56,Poor Sleep,Rural,6-10,2025-10-28,Weekday,3.8416000000000006,3.0183999999999997
8,Male,3.47,TV,True,0.41,"Poor Sleep, Obesity Risk",Rural,6-10,2025-10-16,Weekday,1.4227,2.0473
11,Female,4.61,Tablet,True,0.46,Poor Sleep,Urban,11-15,2025-10-16,Weekday,2.1206,2.4894000000000003
9,Male,0.0,Smartphone,False,0.59,None,Rural,6-10,2025-10-22,Weekday,0.0,0.0
15,Male,3.47,Smartphone,True,0.41,None,Rural,11-15,2025-10-31,Weekday,1.4227,2.0473
11,Male,4.31,TV,True,0.42,Poor Sleep,Urban,11-15,2025-10-28,Weekday,1.8101999999999998,2.4997999999999996
9,Male,2.3,Smartphone,True,0.45,None,Urban,6-10,2025-10-22,Weekday,1.035,1.265
13,Male,4.5,Laptop,True,0.38,None,Urban,11-15,2025-10-25,Weekend,1.71,2.79
13,Female,2.65,Laptop,False,0.38,None,Rural,11-15,2025-10-13,Weekday,1.007,1.643
17,Male,5.34,Laptop,True,0.43,None,Urban,16-20,2025-10-12,Weekend,2.2962,3.0438
11,Male,3.87,TV,True,0.43,"Poor Sleep, Obesity Risk",Urban,11-15,2025-10-15,Weekday,1.6641,2.2059
13,Male,5.67,Tablet,True,0.41,"Poor Sleep, Anxiety",Urban,11-15,2025-10-15,Weekday,2.3247,3.3453
9,Female,3.8,TV,True,0.53,"Poor Sleep, Eye Strain",Rural,6-10,2025-10-18,Weekend,2.014,1.786
17,Male,4.61,TV,True,0.34,"Poor Sleep, Obesity Risk",Rural,16-20,2025-10-19,Weekend,1.5674000000000001,3.0426
9,Male,0.9,Tablet,False,0.6,None,Rural,6-10,2025-10-15,Weekday,0.54,0.36
17,Female,3.3,TV,True,0.42,None,Urban,16-20,2025-10-20,Weekday,1.386,1.914
11,Male,5.12,TV,True,0.31,Poor Sleep,Urban,11-15,2025-10-15,Weekday,1.5872,3.5328
15,Female,5.82,TV,True,0.48,Poor Sleep,Urban,11-15,2025-10-27,Weekday,2.7936,3.0264
14,Female,4.27,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,11-15,2025-10-21,Weekday,2.0069,2.2630999999999997
16,Male,5.79,Smartphone,True,0.35,Poor Sleep,Urban,16-20,2025-10-14,Weekday,2.0265,3.7635
15,Female,2.69,TV,False,0.32,None,Urban,11-15,2025-10-25,Weekend,0.8608,1.8292
12,Female,3.64,Smartphone,True,0.44,Poor Sleep,Urban,11-15,2025-10-05,Weekend,1.6016000000000001,2.0384
9,Male,4.23,TV,True,0.46,None,Urban,6-10,2025-10-07,Weekday,1.9458000000000002,2.2842000000000002
12,Male,6.15,Laptop,True,0.41,Poor Sleep,Urban,11-15,2025-10-01,Weekday,2.5215,3.6285000000000003
15,Female,5.72,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-18,Weekend,1.8876,3.8324
17,Male,3.41,Laptop,True,0.31,None,Rural,16-20,2025-10-24,Weekday,1.0571,2.3529
16,Male,4.45,Laptop,True,0.48,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-24,Weekday,2.136,2.314
16,Male,2.9,Smartphone,False,0.31,None,Urban,16-20,2025-10-15,Weekday,0.899,2.001
8,Female,7.54,Smartphone,True,0.46,"Poor Sleep, Eye Strain",Urban,6-10,2025-10-07,Weekday,3.4684000000000004,4.0716
16,Male,4.34,Tablet,True,0.48,"Poor Sleep, Anxiety",Urban,16-20,2025-10-26,Weekend,2.0831999999999997,2.2568
14,Female,5.43,Smartphone,True,0.49,None,Urban,11-15,2025-10-13,Weekday,2.6607,2.7693
16,Female,4.78,Tablet,True,0.33,"Poor Sleep, Anxiety",Rural,16-20,2025-10-06,Weekday,1.5774000000000001,3.2026000000000003
15,Female,3.64,Tablet,True,0.48,"Poor Sleep, Anxiety, Obesity Risk",Urban,11-15,2025-10-28,Weekday,1.7472,1.8928
8,Female,1.67,Smartphone,False,0.45,None,Rural,6-10,2025-10-25,Weekend,0.7515,0.9185
15,Female,4.96,Tablet,True,0.42,"Anxiety, Obesity Risk",Rural,11-15,2025-10-30,Weekday,2.0831999999999997,2.8768000000000002
15,Male,5.91,Smartphone,True,0.44,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-02,Weekday,2.6004,3.3096
18,Female,6.3,Tablet,True,0.39,Poor Sleep,Rural,16-20,2025-10-26,Weekend,2.457,3.843
10,Female,0.0,Tablet,False,0.4,None,Urban,6-10,2025-10-22,Weekday,0.0,0.0
8,Male,3.39,TV,True,0.43,None,Rural,6-10,2025-10-25,Weekend,1.4577,1.9323000000000001
15,Male,3.57,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural,11-15,2025-10-07,Weekday,1.1424,2.4276
10,Female,1.36,Smartphone,False,0.57,None,Urban,6-10,2025-10-08,Weekday,0.7752,0.5848000000000001
10,Male,0.0,Smartphone,False,0.45,None,Rural,6-10,2025-10-04,Weekend,0.0,0.0
8,Male,2.75,TV,True,0.53,None,Rural,6-10,2025-10-11,Weekend,1.4575,1.2925
18,Female,6.4,Smartphone,True,0.32,None,Urban,16-20,2025-10-06,Weekday,2.048,4.352
12,Female,3.77,Laptop,True,0.48,Poor Sleep,Rural,11-15,2025-10-21,Weekday,1.8095999999999999,1.9604000000000001
17,Female,4.73,Smartphone,True,0.47,Poor Sleep,Urban,16-20,2025-10-28,Weekday,2.2231,2.5069000000000004
14,Male,5.76,Tablet,True,0.4,Poor Sleep,Urban,11-15,2025-10-18,Weekend,2.304,3.456
17,Female,2.78,Smartphone,False,0.34,None,Urban,16-20,2025-10-22,Weekday,0.9452,1.8347999999999998
16,Female,3.93,Smartphone,True,0.39,Poor Sleep,Rural,16-20,2025-10-17,Weekday,1.5327000000000002,2.3973
14,Male,4.61,TV,True,0.31,Obesity Risk,Urban,11-15,2025-10-26,Weekend,1.4291,3.1809000000000003
16,Male,5.67,TV,True,0.49,Poor Sleep,Urban,16-20,2025-10-08,Weekday,2.7782999999999998,2.8917
15,Female,4.51,Laptop,True,0.4,Poor Sleep,Urban,11-15,2025-10-06,Weekday,1.804,2.7059999999999995
9,Female,0.45,Smartphone,False,0.46,None,Rural,6-10,2025-10-14,Weekday,0.20700000000000002,0.243
8,Male,2.52,Smartphone,True,0.58,None,Urban,6-10,2025-10-09,Weekday,1.4616,1.0584
14,Male,6.04,Smartphone,True,0.39,None,Urban,11-15,2025-10-26,Weekend,2.3556,3.6844
14,Female,6.1,Smartphone,True,0.47,Poor Sleep,Rural,11-15,2025-10-18,Weekend,2.8669999999999995,3.233
15,Male,5.61,Smartphone,True,0.39,Obesity Risk,Urban,11-15,2025-10-21,Weekday,2.1879000000000004,3.4221
12,Male,2.34,Smartphone,False,0.37,None,Urban,11-15,2025-10-26,Weekend,0.8657999999999999,1.4742
10,Male,6.86,TV,True,0.56,Poor Sleep,Urban,6-10,2025-10-12,Weekend,3.8416000000000006,3.0183999999999997
15,Female,3.78,Laptop,True,0.31,Poor Sleep,Rural,11-15,2025-10-27,Weekday,1.1718,2.6082
13,Male,4.67,Smartphone,True,0.44,"Anxiety, Obesity Risk",Urban,11-15,2025-10-12,Weekend,2.0548,2.6151999999999997
18,Male,3.25,Tablet,True,0.45,"Poor Sleep, Eye Strain",Rural,16-20,2025-10-04,Weekend,1.4625000000000001,1.7874999999999999
10,Male,4.98,Smartphone,True,0.46,None,Rural,6-10,2025-10-28,Weekday,2.2908000000000004,2.6892
8,Male,5.22,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,6-10,2025-10-10,Weekday,2.3489999999999998,2.871
10,Female,5.02,TV,True,0.6,None,Urban,6-10,2025-10-26,Weekend,3.0119999999999996,2.008
12,Male,6.06,Smartphone,True,0.43,Eye Strain,Urban,11-15,2025-10-24,Weekday,2.6058,3.4541999999999997
10,Female,1.86,Smartphone,False,0.46,None,Rural,6-10,2025-10-21,Weekday,0.8556,1.0044
8,Female,6.48,Smartphone,True,0.48,None,Rural,6-10,2025-10-05,Weekend,3.1104000000000003,3.3696
12,Male,4.37,Laptop,True,0.46,Eye Strain,Rural,11-15,2025-10-21,Weekday,2.0102,2.3598
17,Male,4.16,Laptop,True,0.31,Poor Sleep,Rural,16-20,2025-10-31,Weekday,1.2896,2.8704
14,Female,3.91,Laptop,True,0.39,Eye Strain,Urban,11-15,2025-10-24,Weekday,1.5249000000000001,2.3851
14,Male,4.54,Laptop,True,0.41,Poor Sleep,Urban,11-15,2025-10-08,Weekday,1.8614,2.6786000000000003
18,Female,4.59,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural,16-20,2025-10-19,Weekend,1.6064999999999998,2.9835000000000003
16,Female,2.42,Smartphone,False,0.45,None,Urban,16-20,2025-10-24,Weekday,1.089,1.331
17,Male,6.78,Smartphone,True,0.49,Poor Sleep,Urban,16-20,2025-10-24,Weekday,3.3222,3.4578
17,Female,4.19,TV,True,0.48,Obesity Risk,Rural,16-20,2025-10-14,Weekday,2.0112,2.1788000000000003
10,Female,3.27,TV,True,0.48,"Poor Sleep, Eye Strain",Rural,6-10,2025-10-31,Weekday,1.5695999999999999,1.7004000000000001
14,Male,6.01,Tablet,True,0.34,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-03,Weekday,2.0434,3.9665999999999997
8,Female,4.74,Smartphone,True,0.5,"Eye Strain, Obesity Risk",Urban,6-10,2025-10-02,Weekday,2.37,2.37
11,Female,3.42,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15,2025-10-31,Weekday,1.4706,1.9494
11,Female,5.47,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,11-15,2025-10-22,Weekday,2.2426999999999997,3.2273
12,Female,6.28,Smartphone,True,0.32,Poor Sleep,Rural,11-15,2025-10-04,Weekend,2.0096000000000003,4.2704
14,Male,3.26,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,11-15,2025-10-20,Weekday,1.4996,1.7603999999999997
14,Male,6.06,Smartphone,True,0.38,Anxiety,Urban,11-15,2025-10-18,Weekend,2.3028,3.7571999999999997
18,Female,4.67,TV,True,0.32,Poor Sleep,Urban,16-20,2025-10-21,Weekday,1.4944,3.1756
11,Male,3.75,Smartphone,True,0.43,None,Urban,11-15,2025-10-05,Weekend,1.6125,2.1375
14,Female,6.7,Smartphone,True,0.3,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-14,Weekday,2.01,4.69
18,Female,3.58,Smartphone,True,0.38,None,Urban,16-20,2025-10-27,Weekday,1.3604,2.2196
10,Female,2.51,TV,True,0.47,None,Rural,6-10,2025-10-31,Weekday,1.1796999999999997,1.3303
13,Male,5.24,Smartphone,True,0.43,Poor Sleep,Urban,11-15,2025-10-20,Weekday,2.2532,2.9868
9,Female,0.0,Tablet,False,0.49,None,Rural,6-10,2025-10-05,Weekend,0.0,0.0
17,Female,5.14,Smartphone,True,0.36,Poor Sleep,Urban,16-20,2025-10-15,Weekday,1.8503999999999998,3.2896
16,Female,3.7,Tablet,True,0.33,Eye Strain,Urban,16-20,2025-10-01,Weekday,1.221,2.479
12,Male,4.79,TV,True,0.32,Poor Sleep,Urban,11-15,2025-10-12,Weekend,1.5328,3.2572
13,Male,3.3,Tablet,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural,11-15,2025-10-21,Weekday,1.4189999999999998,1.881
11,Female,5.97,Smartphone,True,0.5,Poor Sleep,Urban,11-15,2025-10-20,Weekday,2.985,2.985
18,Female,3.05,Smartphone,True,0.37,"Eye Strain, Anxiety, Obesity Risk",Urban,16-20,2025-10-01,Weekday,1.1284999999999998,1.9215
17,Female,5.18,Smartphone,True,0.42,Eye Strain,Urban,16-20,2025-10-15,Weekday,2.1755999999999998,3.0044
14,Female,3.66,Laptop,True,0.33,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-23,Weekday,1.2078000000000002,2.4522
16,Male,4.08,Smartphone,True,0.47,None,Urban,16-20,2025-10-21,Weekday,1.9176,2.1624
14,Female,4.41,TV,True,0.32,None,Urban,11-15,2025-10-29,Weekday,1.4112,2.9988
8,Female,4.84,Smartphone,True,0.54,Poor Sleep,Urban,6-10,2025-10-21,Weekday,2.6136,2.2264
8,Female,6.82,Smartphone,True,0.52,None,Rural,6-10,2025-10-01,Weekday,3.5464,3.2736
16,Female,4.6,Smartphone,True,0.4,Poor Sleep,Urban,16-20,2025-10-11,Weekend,1.8399999999999999,2.76
18,Female,4.06,Smartphone,True,0.44,Poor Sleep,Urban,16-20,2025-10-18,Weekend,1.7863999999999998,2.2736
16,Female,6.5,TV,True,0.49,None,Urban,16-20,2025-10-18,Weekend,3.185,3.315
11,Female,4.21,TV,True,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,11-15,2025-10-06,Weekday,1.263,2.947
16,Female,7.07,Laptop,True,0.36,Poor Sleep,Urban,16-20,2025-10-10,Weekday,2.5452,4.524800000000001
10,Male,2.48,Smartphone,True,0.51,None,Rural,6-10,2025-10-22,Weekday,1.2648,1.2152
14,Female,4.06,Smartphone,True,0.42,Poor Sleep,Urban,11-15,2025-10-26,Weekend,1.7051999999999998,2.3548
13,Male,3.9,Smartphone,True,0.36,None,Urban,11-15,2025-10-11,Weekend,1.404,2.496
15,Female,2.38,TV,False,0.33,None,Urban,11-15,2025-10-13,Weekday,0.7854,1.5945999999999998
18,Female,6.59,Laptop,True,0.39,Poor Sleep,Rural,16-20,2025-10-23,Weekday,2.5701,4.0199
16,Male,5.6,Laptop,True,0.4,Poor Sleep,Rural,16-20,2025-10-19,Weekend,2.2399999999999998,3.36
12,Male,5.32,Laptop,True,0.31,Poor Sleep,Urban,11-15,2025-10-04,Weekend,1.6492,3.6708000000000003
8,Male,4.82,TV,True,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural,6-10,2025-10-06,Weekday,2.4582,2.3618
10,Male,3.69,TV,True,0.56,Poor Sleep,Urban,6-10,2025-10-15,Weekday,2.0664000000000002,1.6235999999999997
17,Male,4.17,TV,True,0.39,Poor Sleep,Urban,16-20,2025-10-31,Weekday,1.6263,2.5437
15,Male,4.09,TV,True,0.35,"Poor Sleep, Anxiety",Urban,11-15,2025-10-11,Weekend,1.4314999999999998,2.6585
18,Male,5.83,Smartphone,True,0.39,Anxiety,Rural,16-20,2025-10-06,Weekday,2.2737000000000003,3.5563
13,Female,4.74,Laptop,True,0.44,Poor Sleep,Rural,11-15,2025-10-12,Weekend,2.0856,2.6544000000000003
15,Female,4.01,TV,True,0.39,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-07,Weekday,1.5639,2.4460999999999995
16,Female,2.59,Laptop,False,0.44,None,Urban,16-20,2025-10-31,Weekday,1.1396,1.4504
11,Female,4.94,Smartphone,True,0.45,Poor Sleep,Urban,11-15,2025-10-03,Weekday,2.2230000000000003,2.717
8,Male,4.15,TV,True,0.59,Eye Strain,Rural,6-10,2025-10-09,Weekday,2.4485,1.7015000000000002
8,Male,0.3,TV,False,0.48,None,Urban,6-10,2025-10-23,Weekday,0.144,0.156
17,Female,4.75,Tablet,True,0.37,Obesity Risk,Rural,16-20,2025-10-26,Weekend,1.7575,2.9924999999999997
11,Male,5.12,Laptop,True,0.48,None,Urban,11-15,2025-10-23,Weekday,2.4576,2.6624000000000003
14,Male,3.2,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,11-15,2025-10-21,Weekday,1.2800000000000002,1.92
9,Male,5.72,Smartphone,True,0.51,Eye Strain,Urban,6-10,2025-10-14,Weekday,2.9172,2.8028
10,Male,6.8,TV,True,0.43,None,Rural,6-10,2025-10-06,Weekday,2.924,3.876
8,Female,4.73,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban,6-10,2025-10-17,Weekday,1.9866000000000001,2.7434000000000003
12,Male,1.51,Smartphone,False,0.5,None,Urban,11-15,2025-10-20,Weekday,0.755,0.755
8,Female,7.74,Tablet,True,0.5,Poor Sleep,Urban,6-10,2025-10-14,Weekday,3.87,3.87
15,Female,5.08,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-06,Weekday,1.6764000000000001,3.4036
8,Female,1.13,TV,False,0.41,None,Urban,6-10,2025-10-05,Weekend,0.46329999999999993,0.6667
18,Male,5.12,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural,16-20,2025-10-06,Weekday,2.3552,2.7648
8,Male,6.34,TV,True,0.51,Poor Sleep,Urban,6-10,2025-10-28,Weekday,3.2334,3.1066
9,Female,5.05,Smartphone,True,0.58,Poor Sleep,Urban,6-10,2025-10-16,Weekday,2.929,2.121
9,Female,0.73,Smartphone,False,0.58,None,Urban,6-10,2025-10-31,Weekday,0.42339999999999994,0.30660000000000004
13,Male,5.49,Smartphone,True,0.45,Poor Sleep,Urban,11-15,2025-10-31,Weekday,2.4705000000000004,3.0195
14,Female,4.51,Laptop,True,0.36,Poor Sleep,Urban,11-15,2025-10-29,Weekday,1.6236,2.8864
12,Male,2.9,Smartphone,False,0.48,None,Urban,11-15,2025-10-21,Weekday,1.392,1.508
8,Male,6.29,Tablet,True,0.49,Poor Sleep,Urban,6-10,2025-10-04,Weekend,3.0821,3.2079
8,Male,2.1,Smartphone,True,0.5,None,Urban,6-10,2025-10-16,Weekday,1.05,1.05
10,Female,4.53,TV,True,0.47,Poor Sleep,Urban,6-10,2025-10-16,Weekday,2.1291,2.4009
9,Female,2.44,Tablet,True,0.48,None,Rural,6-10,2025-10-15,Weekday,1.1712,1.2688
12,Female,2.14,Smartphone,False,0.4,None,Urban,11-15,2025-10-19,Weekend,0.8560000000000001,1.284
17,Female,2.72,Smartphone,False,0.33,None,Urban,16-20,2025-10-14,Weekday,0.8976000000000001,1.8224
13,Female,4.49,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,11-15,2025-10-25,Weekend,1.8409,2.6491000000000002
14,Female,3.15,Tablet,True,0.38,None,Urban,11-15,2025-10-27,Weekday,1.197,1.9529999999999998
11,Male,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Rural,11-15,2025-10-06,Weekday,1.5708,2.1692
14,Female,3.82,Tablet,True,0.46,Poor Sleep,Urban,11-15,2025-10-31,Weekday,1.7572,2.0627999999999997
18,Female,6.53,TV,True,0.43,Poor Sleep,Urban,16-20,2025-10-16,Weekday,2.8079,3.7221
15,Female,4.54,Laptop,True,0.46,"Poor Sleep, Eye Strain",Urban,11-15,2025-10-19,Weekend,2.0884,2.4516
18,Female,3.87,Laptop,True,0.36,None,Urban,16-20,2025-10-01,Weekday,1.3932,2.4768
8,Female,0.1,Tablet,False,0.5,None,Rural,6-10,2025-10-30,Weekday,0.05,0.05
13,Male,4.44,Smartphone,True,0.39,Poor Sleep,Urban,11-15,2025-10-06,Weekday,1.7316000000000003,2.7084
15,Male,4.75,Smartphone,True,0.44,None,Rural,11-15,2025-10-03,Weekday,2.09,2.66
12,Female,3.65,Tablet,True,0.4,Eye Strain,Urban,11-15,2025-10-11,Weekend,1.46,2.19
11,Male,3.85,Laptop,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban,11-15,2025-10-10,Weekday,1.1935,2.6565000000000003
9,Male,2.32,TV,True,0.51,None,Urban,6-10,2025-10-20,Weekday,1.1832,1.1367999999999998
13,Male,3.65,Laptop,True,0.37,"Poor Sleep, Eye Strain",Rural,11-15,2025-10-25,Weekend,1.3505,2.2995
13,Female,5.78,TV,True,0.43,"Poor Sleep, Obesity Risk",Rural,11-15,2025-10-22,Weekday,2.4854000000000003,3.2946
18,Male,2.96,TV,False,0.43,None,Urban,16-20,2025-10-09,Weekday,1.2728,1.6872
8,Female,0.91,Smartphone,False,0.43,None,Urban,6-10,2025-10-14,Weekday,0.3913,0.5187
16,Male,4.17,Smartphone,True,0.36,"Poor Sleep, Eye Strain",Urban,16-20,2025-10-16,Weekday,1.5011999999999999,2.6688
18,Male,3.98,Laptop,True,0.37,Poor Sleep,Urban,16-20,2025-10-05,Weekend,1.4726,2.5074
13,Male,2.94,Smartphone,False,0.43,None,Urban,11-15,2025-10-18,Weekend,1.2642,1.6758
10,Female,6.63,TV,True,0.54,"Poor Sleep, Eye Strain",Urban,6-10,2025-10-28,Weekday,3.5802,3.0498
11,Male,2.9,TV,False,0.36,None,Urban,11-15,2025-10-01,Weekday,1.044,1.8559999999999999
18,Female,5.84,Smartphone,True,0.43,Eye Strain,Urban,16-20,2025-10-11,Weekend,2.5112,3.3287999999999998
11,Male,4.78,Smartphone,True,0.39,"Poor Sleep, Anxiety",Rural,11-15,2025-10-30,Weekday,1.8642,2.9158
10,Male,4.13,Smartphone,True,0.4,Poor Sleep,Urban,6-10,2025-10-27,Weekday,1.6520000000000001,2.4779999999999998
